unit_id,Region,Country,Urban Rural,Distance from Exchange,Technology,Market Class,24 hr average download speed,24 hour average minimum speed download,24 hour average maximum download speed,Peak average download speed,Peak average minimum speed download,Peak average maximum download speed,24 hr average upload speed,24 hour average minimum speed upload,24 hour average maximum upload speed,Peak average upload speed,Peak average minimum speed upload,Peak average maximum upload speed,24 hour DNS Failure ,Peak DNS Failure ,24 hour DNS ,Peak DNS ,24 hour Jitter Upstream,Peak Jitter Upstream,24 hour Jitter Downstream,Peak Jitter Downstream,24 hour Latency,Peak Latency,24 hour packet loss,Peak packet loss,24 hour time to load webpage,Peak time to load webpage,Disconnections,24 hour - Youtube UHD,24 hour - Youtube HD,24 hour - Youtube SD,24 hour - Youtube failure,24 hour - Youtube Start-up delay,Peak - Youtube UHD,Peak - Youtube HD,Peak - Youtube SD,Peak - Youtube failure,Peak- Youtube Start-up delay,24 hour - Netflix UHD,24 hour - Netflix HD,24 hour - Netflix SD,24 hour - Netflix failure,24 hour - Netflix Start-up delay,Peak - Netflix UHD,Peak - Netflix HD,Peak - Netflix SD,Peak - Netflix failure,Peak- Netflix Start-up delay,24 hour - iPlayer UHD,24 hour - iPlayer HD,24 hour - iPlayer SD,24 hour - iPlayer failure,24 hour - iPlayer Start-up delay,Peak - iPlayer UHD,Peak - iPlayer HD,Peak - iPlayer SD,Peak - iPlayer failure,Peak- iPlayer Start-up delay
812798,South West,England,Urban,501 to 600m,FTTC,B,62.22523262,61.63098452,62.32348206,62.22690212,61.66213755,62.27948129,18.43694741,18.38531484,18.4615649,18.43787239,18.370432,18.488608,0,0,16.71708427,16.69329229,0.23063661,0.22928261,0.23075342,0.23876667,8.88113425,8.8777095,0.0003,0.0003,106.9261262,107.2453587,0.0323,0.1425,0.8468,0.0108,0,1068.519505,0.1613,0.8387,0,0,1068.884597,1,0,0,0,580.3691054,1,0,0,0,613.9875297,0,1,0,0,1074.112879,0,1,0,0,1137.883301
250808,South East,England,Urban,501 to 600m,FTTC,B,73.17130036,67.20688232,74.25894477,72.71972074,67.46777471,74.088744,18.11972047,17.33992,18.33902064,18.20450319,11.043384,18.483,0.0001,0,14.33288796,14.53879056,0.31798061,0.31835165,0.28020556,0.30239326,6.91401372,6.93562431,0.0001,0.0002,104.3140999,114.4882556,0,0.1471,0.842,0.0109,0,1052.418128,0.1648,0.8352,0,0,1041.056687,0.9973,0.0027,0,0,548.5548478,0.9945,0.0055,0,0,616.3160924,0,1,0,0,938.9207278,0,1,0,0,1012.774795
14234,South East,England,Urban,501 to 600m,FTTC,B,15.60714312,12.64192103,15.99721316,15.45169327,13.69338194,15.9795569,15.65134183,13.09256026,15.95475226,15.46059327,4.037744,15.985104,0,0,9.56389721,9.67006041,0.22797796,0.21828889,0.30220661,0.37985393,7.84152949,8.07091573,0.0002,0.0003,367.7282373,379.3818619,0.1935,0.1432,0.8459,0.0108,0,1070.562051,0.1568,0.8432,0,0,1165.573622,0.9216,0.0676,0.0108,0,2543.412272,0.9027,0.0811,0.0162,0,2741.709829,0,0.9919,0.0081,0,1764.537474,0,0.9839,0.0161,0,2093.928396
2131,Wales,Wales,Rural,501 to 600m,FTTC,B,32.61822855,29.61923742,32.93168103,32.64056532,31.66207355,32.88370787,7.898634182,7.675928,7.948855484,7.894299956,7.283336,8.100376,0.0002,0.0002,21.35701675,21.62613576,0.46677285,0.48706742,0.31120278,0.32383333,13.72278225,13.77652198,0.0011,0.0013,178.1199958,177.4049341,0.8387,,,,,,,,,,,0.9946,0.0054,0,0,1094.358618,0.9946,0.0054,0,0,1112.560995,,,,,,,,,,
942474,South West,England,Urban,501 to 600m,ADSL,B,13.87276386,12.40366994,14.10010168,13.82218427,12.71287716,14.08558426,0.990654211,0.938933162,0.998183484,0.988495698,0.850456,1.022824,0.0006,0.0006,13.20642828,13.16185771,0.57541566,0.64715278,0.50861446,0.60913889,11.29513912,11.42934706,0.0002,0.0001,350.8381555,342.4543438,0.0645,0.1453,0.843,0.0116,0,891.3930814,0.1617,0.8383,0,0,883.6656826,0,1,0,0,1103.839055,0,1,0,0,1145.726743,0,1,0,0,1043.604874,0,1,0,0,1159.855006
5106765,Yorkshire & Humberside,England,Urban,501 to 600m,FTTC,HULL,75.82398192,74.46423664,76.00788103,75.72783783,74.46962942,76.00679381,9.539211459,9.499191226,9.573327226,9.536878371,9.42928,9.597672,0.0002,0.0004,10.29444897,10.27884183,0.16605014,0.16770588,0.13847899,0.17655556,9.08032967,9.03873446,0,0,89.39976536,88.75885119,0.0323,0.1111,0.8667,0.0222,0,439.8418778,0.1429,0.8571,0,0,434.5898571,1,0,0,0,412.9951444,1,0,0,0,414.0618571,0,1,0,0,324.0095,0,1,0,0,322.9032692
814319,North West,England,Urban,501 to 600m,FTTC,B,13.86883926,11.53058297,15.36410968,13.74701702,12.00749316,15.24594142,5.505624484,5.409901419,5.704646194,5.58949664,3.407368,9.336672,0,0,24.1870108,23.74637372,0.27125074,0.26934118,0.37968732,0.50845238,29.46590552,28.99845977,0.0059,0.0046,483.4693968,499.4837273,4.4516,0.1303,0.8584,0.0113,0,1581.262541,0.1404,0.8596,0,0,1556.508382,0.1429,0.8571,0,0,1255.254107,0.1477,0.8523,0,0,1300.956072,0,1,0,0,1686.191,0,1,0,0,1723.688302
660234,Yorkshire & Humberside,England,Rural,501 to 600m,ADSL,B,15.02809814,14.71896029,15.21153,15.03930219,14.72250686,15.20486314,1.071233625,1.024271714,1.079354286,1.069671843,0.79708,1.08008,0,0,16.83630267,17.08168718,0.96188384,1.02837662,0.69904545,0.77276623,14.91057908,15.4894058,0.0009,0.0011,342.6348772,336.4563946,0.2903,0.1633,0.8367,0,0,931.9456122,0.1538,0.8462,0,0,877.3772308,0.4583,0.5417,0,0,1660.433868,0.52,0.48,0,0,1690.210192,0,1,0,0,1233.08616,0,1,0,0,1231.06508
35235,North West,England,Urban,501 to 600m,FTTC,B,32.29933171,31.53019303,32.416512,32.28803227,31.64873368,32.41209703,3.368137978,3.351803355,3.379034322,3.365699794,3.246608,3.515896,0.0002,0,15.44082625,15.36700756,0.32388202,0.31685714,0.28545787,0.30047778,13.5321231,13.53659016,0.0006,0.0005,170.4147903,174.6739355,0.7419,0.1444,0.8444,0.0111,0,1040.257219,0.1611,0.8389,0,0,1034.043433,1,0,0,0,1105.870155,1,0,0,0,1124.111179,0,1,0,0,784.6925679,0,1,0,0,777.3849274
25624,South East,England,Urban,501 to 600m,FTTC,B,37.11240202,36.98836877,37.13592929,37.11095955,36.99928258,37.13375664,9.297285994,9.293862452,9.299449548,9.29700137,9.294576,9.30016,0,0,4.75148718,4.75380949,0.24240822,0.23987778,0.35805769,0.36468539,5.32922253,5.28174176,0,0,133.7691623,133.9290165,0,0.1456,0.8437,0.0108,0,1043.640008,0.1622,0.8378,0,0,1031.740892,1,0,0,0,885.8211703,1,0,0,0,887.1889837,0,1,0,0,534.8017197,0,1,0,0,538.1170973
