unit_id,Ofcom product,Region,Country,Urban Rural,Distance from Exchange band),Technology,Market Class,24 hr average download speed,24 hour average minimum speed download,24 hour average maximum download speed,Peak average download speed,Peak average minimum speed download,Peak average maximum download speed,24 hr average upload speed,24 hour average minimum speed upload,24 hour average maximum upload speed,Peak average upload speed,Peak average minimum speed upload,Peak average maximum upload speed,24 hour DNS Failure ,Peak DNS Failure ,24 hour DNS ,Peak DNS ,24 hour Jitter Upstream,Peak Jitter Upstream,24 hour Jitter Downstream,Peak Jitter Downstream,24 hour Latency,Peak Latency,24 hour packet loss,Peak packet loss,24 hour time to load webpage,Peak time to load webpage,Disconnections,24 hour - Youtube UHD,24 hour - Youtube HD,24 hour - Youtube SD,24 hour - Youtube failure,24 hour - Youtube Start-up delay,Peak - Youtube UHD,Peak - Youtube HD,Peak - Youtube SD,Peak - Youtube failure,Peak- Youtube Start-up delay,24 hour - Netflix UHD,24 hour - Netflix HD,24 hour - Netflix SD,24 hour - Netflix failure,24 hour - Netflix Start-up delay,Peak - Netflix UHD,Peak - Netflix HD,Peak - Netflix SD,Peak - Netflix failure,Peak- Netflix Start-up delay,24 hour - iPlayer UHD,24 hour - iPlayer HD,24 hour - iPlayer SD,24 hour - iPlayer failure,24 hour - iPlayer Start-up delay,Peak - iPlayer UHD,Peak - iPlayer HD,Peak - iPlayer SD,Peak - iPlayer failure,Peak- iPlayer Start-up delay
37311,BT 76,East Midlands,England,Rural,1301 to 1400m,FTTC,B,67.33500999,63.80665914,67.69436229,67.19812122,66.08337015,67.50569908,18.3321976,17.73795714,18.43035457,18.26012705,16.056704,18.439248,0,0,19.85462782,20.12529271,0.25037319,0.25133333,0.24517754,0.244,8.36672303,8.44815686,0,0,255.0412867,272.9617674,0.0714,0.0963,0.737,0.1667,0,1132.336133,0.1163,0.6512,0.2326,0,1045.079558,1,0,0,0,1140.267772,1,0,0,0,1342.421644,0,1,0,0,1280.721603,0,1,0,0,1366.85183
975672,BT 8,East Midlands,England,Rural,1401 to 1500m,ADSL,B,6.748048607,6.198648286,6.878572,6.793452378,6.742428571,6.842900286,0.368300929,0.310986857,0.385040857,0.366287407,0.25832,0.389216,0.0005,0,32.29413737,32.06286421,1.47280132,3.59816667,0.59372517,0.70054167,29.1295008,29.07986538,0.003,0.0023,737.2735016,744.0108113,4.0714,0,0.8421,0.1579,0,1610.654355,,,,,,0,1,0,0,2295.516722,,,,,,0,1,0,0,1988.203616,,,,,
947216,BT 52,East Midlands,England,Urban,1401 to 1500m,FTTC,B,51.05099934,50.192512,51.29313676,51.07291771,50.96492876,51.18090667,9.251533803,9.062879619,9.280352762,9.273903024,9.234088,9.28056,0.0001,0,11.5556929,11.80268541,0.24865106,0.24171429,0.25603814,0.27133333,7.94133753,8.065675,0.0001,0.0001,105.2793553,106.454425,0.0952,0.1111,0.6019,0.287,0,487.7168704,0.1667,0.5,0.3333,0,534.67025,1,0,0,0,725.2506204,1,0,0,0,743.72675,0,1,0,0,475.2568333,0,1,0,0,515.2925833
815511,TalkTalk 76,North West,England,Urban,1401 to 1500m,FTTC,B,58.6081374,51.41457314,60.43778429,57.30542733,56.70311231,57.31095446,10.63413182,10.31249314,10.71319057,10.52453419,9.776864,10.877408,0,0,6.58320677,6.91580665,0.21178058,0.21394118,0.46543525,0.79633333,11.49801072,11.51182143,0.001,0.0001,131.1682287,125.9953235,0.4286,0.076,0.7338,0.1901,0,1008.422863,0.1176,0.6176,0.2647,0,1052.033706,1,0,0,0,603.7477132,1,0,0,0,629.6872121,0,1,0,0,755.0141264,0,1,0,0,967.5897949
974960,KCOM 250,Yorkshire & Humberside,England,Urban,1401 to 1500m,FTTC,HULL,236.185154,230.7329751,236.5274846,236.0709612,235.805211,236.3686797,28.58317655,28.17790914,28.605588,28.558986,28.128616,28.60524,0.0001,0.0008,4.06399002,3.87640832,0.17317434,0.18492593,0.13953595,0.20775,6.76621003,6.86427451,0.0006,0.0002,66.17576006,67.32093878,0.1071,0.0946,0.7432,0.1622,0,483.4774324,,,,,,1,0,0,0,127.3823472,,,,,,0,1,0,0,171.3523378,,,,,
941208,TalkTalk 76,East Midlands,England,Rural,1401 to 1500m,FTTC,B,74.40158309,70.87691657,74.74285314,73.96538333,73.38792593,74.70924622,18.66709239,18.55806429,18.68024114,18.65356835,18.337944,18.680384,0,0,5.98617017,5.62551366,0.21103974,0.20416667,0.26863123,0.28283333,12.11034498,12.12607547,0,0,125.5765114,128.3475909,0,0.1134,0.7227,0.1639,0,515.3750756,0.1591,0.6818,0.1591,0,525.3650682,1,0,0,0,444.467023,1,0,0,0,446.4865333,0,1,0,0,312.5814882,0,1,0,0,420.8088085
948000,Sky 8,East,England,Urban,1401 to 1500m,ADSL,B,6.679618387,6.146813429,6.822608857,6.615168421,6.576402546,6.723533454,0.591722338,0.541911429,0.640843143,0.580083579,0.412384,0.965608,0.0006,0.0011,28.7981631,28.97373848,1.41040741,1.50089474,0.3975041,0.33226316,36.81733974,38.18857692,0.0006,0.0002,959.2577601,1002.403649,0.25,0,0.8033,0.1967,0,1642.95927,0,0.7895,0.2105,0,1722.804605,0,1,0,0,2440.218611,0,1,0,0,2581.541761,0,0.9877,0.0123,0,2989.273339,0,0.9459,0.0541,0,2957.952839
5072049,KCOM 75,Yorkshire & Humberside,England,Urban,1401 to 1500m,FTTC,HULL,75.97994067,75.49955886,76.00787257,75.98782482,75.62720918,75.9996557,9.537960598,9.496844571,9.575564571,9.541643846,9.457864,9.615064,0.0003,0,10.12710075,11.03451699,0.20933951,0.21396429,0.18546914,0.5066,7.04351138,7.30859615,0.0002,0,77.67894351,79.87780392,0.0714,0.119,0.7143,0.1667,0,516.3081905,,,,,,1,0,0,0,417.2105714,,,,,,0,1,0,0,300.6022143,,,,,
942854,Vodafone UK 76,East,England,Urban,1401 to 1500m,FTTC,B,21.0635207,17.89054457,21.29823543,20.96320871,20.68578571,21.24063171,7.758387636,7.522503143,7.795474286,7.750227491,7.309528,7.816024,0.0001,0,11.36247104,11.32356378,0.3035122,0.29851852,0.33758537,0.39610714,6.01971017,6.0365,0.0006,0.0011,310.7542124,344.5862857,0.1071,0.1068,0.7062,0.1869,0,797.6077893,0.125,0.6964,0.1786,0,746.8368929,0.0148,0.9763,0.0089,0,2423.949792,0.0893,0.9107,0,0,2201.068523,0,0.9941,0.0059,0,720.5471298,0,1,0,0,729.7719123
775770,Sky 38,Yorkshire & Humberside,England,Urban,1401 to 1500m,FTTC,B,36.76253312,32.56598,37.35960143,36.87515862,36.55537067,37.22968356,9.330292201,9.203298857,9.382084,9.344148154,9.169616,9.387736,0,0,8.18725435,7.87785412,0.21945515,0.2194,0.44025914,0.37588,10.68339663,10.66501852,0,0,201.4461913,193.088549,0,0.125,0.6974,0.1776,0,673.9511776,0.14,0.72,0.14,0,676.29594,0.9903,0.0097,0,0,1082.500872,0.9808,0.0192,0,0,1406.370132,0,1,0,0,625.5591688,0,1,0,0,640.4606667
